"N","NS","O","S"
"40-59",0,1,0,0
"40-64",0,0,0,1
"40-69",1,0,1,0
"40-74",0,0,0,1
"40-75+",1,2,1,0
"45-69",1,1,0,2
"50-64",1,0,0,0
"50-69",4,4,0,1
"50-74",3,0,0,0
